"category","question","option1","option2","option3","option4","correctAnswer","difficulty","points","isActive"
"Full Stack Developer","A user 'deletes' a blog post. The React app optimistically updates the UI to remove the post, then sends a 'DELETE' request. The request fails due to a network error. What should the app do?","Keep the post removed from the UI","Crash the application","Roll back the UI change (show the post again) and display an error message","Automatically retry the 'DELETE' request 100 times","2","hard","1","true"
"Full Stack Developer","What is 'hydration' in the context of SSR with React/Next.js?","The process of attaching client-side JavaScript to the server-rendered HTML","Downloading all assets for offline use","Compressing the HTML output","Querying the database on the server","0","hard","1","true"
"Full Stack Developer","A user's JWT is stored in `localStorage`. What is a major security risk, and what is a better alternative?","Risk: CSRF; Better: sessionStorage","Risk: XSS; Better: httpOnly, secure cookie","Risk: Server overload; Better: In-memory store","Risk: It expires; Better: A token that never expires","1","hard","1","true"
"Full Stack Developer","What is an 'optimistic UI update'?","Updating the UI *before* the API call completes, then rolling back on failure","Only updating the UI if the user is optimistic","A UI that loads very quickly","A UI design that uses bright colors","0","medium","1","true"
"Full Stack Developer","What is the difference between a 'monolith' and a 'microservices' architecture?","Monolith is old; microservices are new","Monolith is a single unit; microservices are small, independent services","Monolith uses SQL; microservices use NoSQL","Monolith is for backends; microservices are for frontends","1","medium","1","true"
"Full Stack Developer","You need to run a CPU-intensive task (like image processing) on your Node.js backend. How should you do this without blocking the event loop?","Use `await` on the function","Run it directly in the main thread","Use a worker thread or a separate job queue/service","Increase the server's CPU cores","2","hard","1","true"
"Full Stack Developer","What is a 'Content Delivery Network' (CDN) and what two things does it primarily help with?","A database system; helps with storage and retrieval","A distributed network of servers; improves speed/latency and reduces origin server load","A security protocol; prevents XSS and CSRF","A code bundler; minifies and compresses code","1","medium","1","true"
"Full Stack Developer","What is 'isomorphic JavaScript'?","Code that can run on both the server and the client","JavaScript that has no bugs","A deprecated version of JavaScript","JavaScript that only runs on mobile devices","0","hard","1","true"
"Full Stack Developer","What is the 'Same-Origin Policy' (SOP) in a browser?","A rule that all website images must come from the same server","A security measure that restricts how scripts from one origin interact with resources from another","A policy that all fonts on a page must be the same","A performance guideline to load all assets from one origin","1","hard","1","true"
"Full Stack Developer","In a MERN stack, where should you implement critical business logic (e.g., calculating final payment)?","In the React frontend for speed","On the Node.js/Express backend for security and consistency","Directly in the MongoDB database using stored procedures","In a separate Python microservice","1","medium","1","true"
"Full Stack Developer","What is a 'webhook'?","A security vulnerability in web servers","A user-defined HTTP callback that is triggered by an event","A special type of API gateway","A hook for hanging a web server on the wall","1","medium","1","true"
